name,health_authority
Alert Bay,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Bamfield,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Bowser,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Campbell River,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Central Saanich,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Chemainus,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Colwood,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Comox,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Cortes Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Courtenay,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Denman Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Duncan,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Esquimalt,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Gabriola Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Galiano Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Gold River,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Highlands,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Hornby Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Jordan River,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Kyuquot,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Ladysmith,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Lake Cowichan,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Langford,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Mayne Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Metchosin,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Mill Bay,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Nanaimo,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Oak Bay,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Parksville,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Pender Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
